Title,CompanyName,Location,Links,Salary
Python Developer [Job ID 20240126]NEW!,Phoenix Cyber,"Phoenix, AZ • Remote",https://www.ziprecruiter.com/k/l/AAJNnYWj64ctGH4yk4Os-IywsUcF-IJYSo1I_bhGVvUZtvHbWK8RckdCuAngiZkRZkYCgY2V_etFnM1c84qlAvil4dRe4fDNj4xK_YBQE6f3lVYAwCqx6-pV-E4cs4R0OV5GKgQlM8fq00llhuuMkfq61ZM-cFIQj0XnME3geyH-_a99iO66a-ZAdBCmgZ9TqBSNqIzezsMLA7WhBnPORk56LeHUZRLLcQk0IA,$50 - $68.75 / hr
"Software Engineer (AWS, Python, Apache Spark, Jenkins/Terraform, SQL,",Akorbi Workforce Solutions,"Johnston, IA",https://www.ziprecruiter.com/k/l/AAILQWMjEhlsrzn_IANE2fu05UqoddjADxITvv4pKpf69aNtCg6yuEIAFxA7qnY2OhEHPr3g7sdhsUTzMLUYNecmM2XmieqeGg224_eANy7w4La6eoSVjuXvS7FBeCSOSqFqPTV2LFz4m0uFQbe2KUO_m53niLhCY9x-s0pbxBSUUVJtP7Xx6A8lzMR6BAYRIXONQrTtE6q-Zwn-IqZmAZi8KugfEnJHVjvlfA,$78 - $82 / hr
"Software Engineer - C/C++, Python",Client of TER Consulting Group,"Wilson, NC",https://www.ziprecruiter.com/k/l/AAIGTOHM1RQCmhjZR3h42bENGVys6K29JggrSk1NLRYoZ2UdynpjBN10CrchiOoYFAw1MpxHJ7M7CHFb0sPptLQh7GZ3HsDjlfMUHfRKZpgEph2R_XZLFGYLa-OT1wdMk-aQWFjXUh26BKYkdvUVjlNp7BNaBOJOj34rz-Q8bylm9X12oeq-3HnGJGfdGK4tKo3U3p-7v2pLuxfy8vjG_XwLwqSsD8vJvg5rkA,$90K - $100K / yr
Sr. Business Intelligence Developer/Analyst,Medline Industries,"Mundelein, IL",https://www.ziprecruiter.com/ek/l/AAL-2igevLeMgz6Z6l1y5Hp9BNyzQ37Fg8Us2nq5jJVrktaKEKH40rDyP74X1c7k7LvqQVyUFgZSzA8mV_LyjJmpGtaZ1EcZSC5vgz2LfqVly19bDcNSQhVufY1Zt_CGfkjGIzzOI1Gez7P-VBGku89Dj0mVnYKdDarSaTFNGA4NdTtyclrZTh6EpgGvrmb3nMm_KLZs3hdEJ-V1S_I-UlsDLdVaZ9FWrDpL7EA,Not Specified
Software Engineer - Intern,ZipRecruiter,"Santa Monica, CA • Remote",https://www.ziprecruiter.com/k/l/AAIzxY6QNNjoLSfty0FrI1ejZnVZZOd9AMVMdg461ffDpGIjy7BqtqQAvLQwvq73GYzKG2pcnPgFNy7DYiANzdL1oAL0GeeGb8mQOHxfFMZFfNxhnhRIS_bH54IFaVQECo92z24fvclHOtHrfM29kxFfGd4NoSjWT42lrR8hlo9N8Ma9vsGOwdokPgyOUFyJiru7Z4vLs55hzhIdww2axONil3hv0ttB0WakbOs,$45 - $50 / hr
"Python Developer (W2, Hybrid Chicago)",Skiltrek,"Chicago, IL",https://www.ziprecruiter.com/k/l/AAKodri26HypopBEWQqJ50OLtBCBD5jGcuetYYRt_z2A9NPAofNCyQgVSrmOt_ht2-NRFkCpx6PSJ0Z2S0QxfFwMI1LVUQj5v2KaiGGzgM2AEl_O2uvO9AW28acsY6HLJtfjkEUZrsNyDsGm4X3RWHh1nO5KGy5x9Hrmk671BHXnW_-4bX-ygXBuFRgmOrLbCyxv9rq5xRZvefOttzur3Q,$51.75 - $71.25 / hr
Python Full Stack Developer I,Certrec,"Fort Worth, TX",https://www.ziprecruiter.com/k/l/AAKrgVAZPXJaohnhRrAyszeRIb6EX2zJZKVdYUnnKVcoTW3Df77yEwG9KfFiPx68Ff7jm0Kbg9xOq8t0VBktKQnmU_lNYTmbltqlZgtLltj3Doe5xdUmouCjZYPTEberAtC4QBvjM8ffrDqcaBqMWT0SU0J4eFNzDaKbXZdMqcX8pLcwfX468wWFudrPsZkgibww6IeF5U_U7Qf4cNHl9vkmZ1KZHhDZMDZpQA,$50K - $60K / yr
Talend/AWS/Python Developer,Penske Truck Leasing,"Tampa, FL",https://www.ziprecruiter.com/ek/l/AAKU2m1o6PPTYVo7MWObFxqklsQDZWg3xhaPVM7wBQcqNFt5M0R3RPU1i3UwGoP6X0vomqXDdJ3dSuXanB0qiaAXFJ0tBKPT_oZ6qbKaEAYIq3S_TTkbtcgzy6jBVjmXvqDPiYEhl0PtixCQ4zvoBIaWD5WL_tVwNysWBIFN5E94cnyUFMN4n_uYaLGMwL5wdMHe-qkn6Zb3PK54tFtOlp20-2tvDGWyoMSv,Not Specified
"REMOTE Senior Software Developer - Python, Oracle SQL",Technology Navigators,"Houston, TX • Remote",https://www.ziprecruiter.com/k/l/AALUkHo-eaOGFZ0PkYFchs4lsbwfORRmOM5uXwLYxDHxTYmGkH94HSTUtvOHTFG-hyqUuz3InPKeZqAJeMx9klZdweM8uqgQqthiwEcI9ihV_aMIq3DwMWapPmJUnUJONalP2oHf-BNLSEE_TvsH2LAfIjmNG4_zhWul3skjODC0FWEHSI5zezg5038eza8AI_whqMz6-SaI-MJ4PQzjXV7-JdU4AiVQRQtxOg,$60 - $65 / hr
Medical Device Software Leader C++ C# Python PhP and Mobile apps UniquNEW!,Unique Hardware Software Systems Company in Major Growth Mode,"Doral, FL • Remote",https://www.ziprecruiter.com/k/l/AAKteaM7Nv98yuSPmZf_M-ddVjgRmIxxbhy33d592JlQGxG6PgW2deIEZtpZUWTqD10t3vNp_PYswwuWxjfXNr_PUnfaZDWf9W8f1x-G5MbwRkjBID0dlrRirGy_y0NY2KXpwucKzvXWNy9b_Tz0JVGd-ijGa9GWI9QPxuaQaa_oxsATENyduT0g2rPU5GDAKXlXs6omQec49Q3-Tvip7qpJIdRttV2gDreVICg,$150K - $175K / yr
Lead Software Engineer - Python/DB,JPMorgan Chase & Co,"Columbus, OH",https://www.ziprecruiter.com/ek/l/AAL23GwHlrucomDyDtNMSDz8ecKQxPav-SaBWBnWUDPFRi4596-RuM9ET-jWwfmCGBNiIYLO3luoVEcbHxH9cK5PYxBBS3Quev3XX0jGBnwBR1GGcaJpS2UabQJz_-u3NfkWZ-L8kImqWf0Sw4MngbcN3ux82NInAugLywUUgElK-PbKfZYKKUQFaLXDx__dfdGuTDy0YE-eMBfMhMEca3Mbqu0ujotLFdaABw,$147K - $215K / yr
Python Developer,Robert Half,"Plano, TX",https://www.ziprecruiter.com/k/l/AAIn9gOpH95exq8Od5AKAmp9dVD9sh4NoUMj19Ws19XjiBLCpbEYFwx2i3kTDuKOkdd6vLIUUmvFOFnNzQkI-swZG0aR117UyhEi-4Xc43IdEQN1juPWQ6_oe0lDv2cc4pkZjsXjzL0uA2kuIz0-L_l9NXSaXVBwUpfVvb4DI8NRWZ4mML5LOmpICc0-8w3BXhKFRImrVI1U-TPgmuxzKAUYR9Mq2pfVIieL,$76 - $88 / hr
Senior Data Engineer (Python/SQL/Bigdata)NEW!,Capital One,"Chicago, IL",https://www.ziprecruiter.com/ek/l/AAJNJWr5u1DKtQ0MfcZ9grFeKhWAe6T7XnznncavGxilJhQw_TpPABC30KiLdgkfT785LcDZJkqFO8ne9gkEFiA6jrVRCbx4lihugFIL8ljg5q9Z4Jr3rSziX1Bqs2lrpl7ck-pg_-BQP6UizgKX2WjZveZXlXu3B0sHTPOUN5ouwg3ZyYQxZMWrHScqTeS2oAJ4lOrQYaoTrW1GVMw1JzLq5lP5JbEzgl88,$118K - $142K / yr
Python - Power BI .... San Francisco Bay AreaNEW!,Express Employment Professionals,"San Francisco, CA",https://www.ziprecruiter.com/k/l/AALUAItAy1KZpZ0NZUCMzmqYdJ_Gj0OA9QeARsLm60ZH42cphVGA9aKlSxOd_tUJKR4IG8rLpmhHWD2Al8UH9J2F63eJvuHjCdPnNoXtotWFiZS3CQhpeQj3RZ_nrHJz5JQsgwFu63ajx7Khg2aQPxPxB258mWYoJ3sSVS3DszLwTpXXOGhNIrsDorERGO3duTBsTiWCBg-wkX58WrkB_OWQg79ZC1NFR2uQ,$50 - $60 / hr
Lead Python Developer,OtterBase,"Nashville, TN",https://www.ziprecruiter.com/k/l/AALvZiIpmeO9fefuDqUZCDM_X5mMFh7C1T93Lv0HJ6Udu5nofUY6ayfN24ioX8MfeRYgo2PIxuod47lm7Z_weDOqIolhXobFfOuRg7fq1rtpgXsUTgI14lA0Dc_YQHTHytV8aMSWipHTq_uRUuGdViq-NDJqiynhNvH_IjWVhaBivxZMeNXfWpPxE86mgioiSePfuUVbDEIKmPBkugRGqGUI2924omR9cPjo,$140K - $165K / yr
Python Developer (Entry Level),Magnus Technology Solutions,"Dallas, TX • Remote",https://www.ziprecruiter.com/k/l/AAJ0Cscs5ng6t-FQuEw8uFI8JdT3gPQNUuRwAG5kLYjNqpV4zgS2InztZzOuLTWm9j1oiG3lyEvuZaZCfixLtYsfXT0yt10efwiDX6QZ8MJ407hlxdhfZHiqesVz08GRsxII2xbD-jXJinSSzD6I1EoSXythn2GqziRt9SO8WgYUCv3d1-I90mQ5wxUehvnE7Y5AbYtDkx1qUfHnmSsW7Cj69PVBs6as4fo2Fw,$80K - $100K / yr
Python Developer with React,Triunity Software,"Los Angeles, CA",https://www.ziprecruiter.com/k/l/AAJJGm-Ck2Ed97W7WXSZreDficm68LfIsBkFgGw0aZGN6_Zi5kgqsgjV8Kb4H7b9MtDG_7g4MN4vP1cHblmau9sReecN0tjXqoBrUG1KZUnrZzGWSNKgQKBCHbpEcqhRC4SYJMKgtVkBrQlRQe41UF9Br0qG4K1ewiON07FUvXt2kQa9nxg6U00xH5ADwdwEDkQoR1egOfJ9XMbCSdA--KjpLNXNSPr_Ra5GQA,$140K - $160K / yr
Experienced Software Engineer Java / Python (Full Stack or Back End),JPMorgan Chase & Co,"Columbus, OH",https://www.ziprecruiter.com/ek/l/AAJVxZi4RXaOFOrTZz_zuxQoKyoSLHtcrzw1VUfYC4uweArMm8uB4A6JiT7HbMI5LmLxokSaYd0eDimWh9Um7OWv4oRKG-nUkGsA2WSdL2jHuixah0pq9vNykEQ33bnajn1bpa62DEC7Yg_5sKL3-rImUnS5xsNavc4jZsF1s65wqhZblHZb0MbejNE-4dqhn0qKAZTcQ9jwEDdi9lZbkbrJiE7c04_HnUKPBA,Not Specified
Python Developer [Job ID 20240126]NEW!,Phoenix Cyber,"Phoenix, AZ • Remote",https://www.ziprecruiter.com/k/l/AAJtwIz7QMOF-k70EN8trTTUaCwC5zSh0IJZXl_PgW4flu0UQHD_QsJQVvwtUv2EDCsGdQvuPQyc4DcntzTDRq4oHBymVLaLqZ3CMNXV8_z0pecdIlqlsBBtnPGlrX7p84OBTcLiXhAkzgIK79IZVYTJqmb6rGruPrIkDXPt7UUkBtX3-HxsCcZDH6Xa8uAd6uyc-6EbevykEcddURcss-PUvo_Mogt713kS,$50 - $68.75 / hr
"Software Engineer (AWS, Python, Apache Spark, Jenkins/Terraform, SQL,",Akorbi Workforce Solutions,"Johnston, IA",https://www.ziprecruiter.com/k/l/AALy-7cDjdyI-bR2RUeNc2aMGjwN9-7GVtiPVa_fxWuTWLX-rEreaW-e0TwutF95ywjq7LNZhGkZKTGlsy9RvpucDwTHSio1RY8WoELryU6TnutiYWJSCrF9MgNFO4iFiR_MSesd9flNj7Q88tk9iS9AwmGy0lA-GeYvIA3BAPk4-Qq7xKPewVlx3nSmAyQC6ZFuuAXFvHORXQH-S4qppTPfLlnuu8fP7etU2A,$78 - $82 / hr
"Software Engineer - C/C++, Python",Client of TER Consulting Group,"Wilson, NC",https://www.ziprecruiter.com/k/l/AAKL1LeLtwRhrfcmNjlMg1gUFmnOZPtWWVJh6ekDZSyK3SNgFr2AbntBU9N5jzk-GH6MdWmrkd3hjJfbDy8_SNFKko1x-fqTUc8f4NmLy3Vn4hKOLsyqeCFh1AvMkYSHoRJtNrLLxbU7xb5k9LQzUmW4ngYkTYs0GQKnRGoeHXs3H5gkS8G3dTlVoYTUyKEFKFgQMuXdKTXKH8b-nX5a_giREl5RDT4-0pAYYA,$90K - $100K / yr
Sr. Business Intelligence Developer/Analyst,Medline Industries,"Mundelein, IL",https://www.ziprecruiter.com/ek/l/AAIAW6fw0u5JR0hrPsIpidVQrrafRcfGJeZg6uLjp91U_sq8EL7ir-cpFMUaGXHkDd5aV-k4fg4JCSdwnyR7j48XDVuvRUTgipU8OgEgE6ePDBkyG7YiY4aBuugdCNOsuTMNRDZd3ZR1xdqhMl0M8vUTRWhHRIyMe7DC6p4o6zbFTmHCz-UZMaw8m8GQlMRjz3GCPgc2PGmTd_M9gOChIwr0nMqbUEJ2q2WM3pI,Not Specified
Software Engineer - Intern,ZipRecruiter,"Santa Monica, CA • Remote",https://www.ziprecruiter.com/k/l/AAJbsa7falwi5-fENsIErV2WTyAvbEMQoQ8ojYaTKTE1p7MJ4DQSJi0ZA04q5R56PxwcL1fSwmDt01r0t8JUtx-bGYCDUb8qsOOl0ZDKjyvPAHIr5Xyc9gf0wvoe6FWnvKs-wk3oKP9mojr9L7jcD7vXB0d5P-hiLRhiRMM5oEN2q3OPXTwY9Gv6Pp1853IVTzMy_AoSJrBTK1Wa_ahqVermVLIZw_fCQhsE6p0,$45 - $50 / hr
"Python Developer (W2, Hybrid Chicago)",Skiltrek,"Chicago, IL",https://www.ziprecruiter.com/k/l/AAKC-Dn0ZwXb2Dch2H_FGd56ogPrLyfDG2lcEajypw6RJCenO33OaXBEgKWiODaR7mb3KjTZhixjFzmdP-lsn6-72aw8Jv9DIDFI3x8hXiT0JLZIdlgF1vfuzUg0_HqKTXZfLnj6W-7fS9jAFR5r_BtFGGx_rboRgH6KJWsjRS4IEq2juRaSKPZmaIqn4Hmp2Mo9ZRVxBEAFPYjfJjlc6g,$51.75 - $71.25 / hr
Python Full Stack Developer I,Certrec,"Fort Worth, TX",https://www.ziprecruiter.com/k/l/AAJ4dSduF1SqErF3KlqAP4Vg_EdItHO0Rb0JfHF1OZk-RVwC6zIwdyTodhUnSuSK3X4Df8hZUQr4f8Wgcy7GZpqVrP_SDq0RaRg7mCz-GgdFAPdvh7RAyylUW5PlRwo7B_WP3km9jx8nctilRPMptgSjUn5p8N9DqancrqTy3XHXzGo2gGUVEKitpMxX_sTHg-3IvXh9CKZi5E_l6RhYNFfCLebzC0jUzUMyBw,$50K - $60K / yr
Talend/AWS/Python Developer,Penske Truck Leasing,"Tampa, FL",https://www.ziprecruiter.com/ek/l/AAKwYBpqemyEFdVk_7ryK_hPHEQ-fN1DsYlUZeQD5oXtHPvmVv7xmJguKj3Fw3FQkkVG-BK9x3CXWZ9dA-IT3oKlbgOQfYZSmzAQ864OJkD3hpJNt06xV5BYV8i8XC9S1FmnP-QrioWgD5Deg9B0ZOfQY1jp4QJVbMfG6RlQuqi8B_4l1EGjn81EC6D4yFd0ILIfRsUcKqBYTYdRuBDs4O2Nyv97znWL-OVv,Not Specified
"REMOTE Senior Software Developer - Python, Oracle SQL",Technology Navigators,"Houston, TX • Remote",https://www.ziprecruiter.com/k/l/AAKJj_7w4kru3SwMBC2sBnuPr_z5wdOn0aBEbNme31fzZ5tbWRn6UWkfFoWtSGr1xxP4RXwcgYNUPDfkDCPw5aE__hPlf0WT4nLipSpBgEKKwS6tlKgoiU8OxljKbIdKF0yxuSapry3iQN2OqsntGm_V7OzN2EilxoCLRHKQWepq5mYjP61Ai-Uta8onCDp_OmtHBfVcTt2uIEdxACIlSp1iC82Zxte6DSLdJA,$60 - $65 / hr
Medical Device Software Leader C++ C# Python PhP and Mobile apps UniquNEW!,Unique Hardware Software Systems Company in Major Growth Mode,"Doral, FL • Remote",https://www.ziprecruiter.com/k/l/AAIUtKyU5CTpP9eP0ebkap371K5_YK7JRdmV753--beSoiGr8KCw8jy-_hzpjxXX6tVJaJx5MGOaW_fCcF3mgn3HHsGcRLVUtO9e3vJifcA9iT0Y7MSuk2igu301rN5ig8XYRbvRAT-CFnrb_IJY5wHL9R-cAW-Q1JKLEy8yleMfTMO4hwE2P4rf_VsE6hO0b-xkk1c_9ZsLdCtODV1Te-fJn3aZ64ZtkM8wyrk,$150K - $175K / yr
Python/Data EngineerNEW!,Inadev,"McLean, VA • Remote",https://www.ziprecruiter.com/k/l/AAL2reIsoTsHKBi_vLiPu3kFxKI72yJVYp6oktRkEyp17KtbY0SSShMLvpzzkHLV6SPcK8BymoFiIXByX0oOUBzXsHg8VIebtPU3OSUNDG1JfxEO-snVlAOfUKPl_iV-FqPf_buvRUueng2XzFvyCFTMTSW-Ynz0QD6uFRapYLv06k4c7Wrc14xuojOoO_XTZBG9CnwjZU8UY3vSP1t-_Dof,$100K - $120K / yr
GCP Data EngineerNEW!,Jobot,"Philadelphia, PA • Remote",https://www.ziprecruiter.com/k/l/AAL1p6qYvEVu0GsbqfHl986zW6hZ3euOGhQm-PbPv6WdoB_m7TVECnPXloaoTpqHBbbXww1jjz2IsVNi8G-_lwpSWkZap0dA7GHKaV7B2fhjGcNYCacVQ0y6qdfL-z9uTP5gmMoEVJsewaCPjDruP5pW030Vd94cYfvHVB7p18xt5eFmYw6ljnHlacdC_XWbyDC6BPvGiNF_7jMwv_HXw17EtVMbbw4nXAv4ekE,$130K - $170K / yr
